Jugador,Valor_contrato_2016,Valor_promedio_contrato_2016,Juegos_2016,Wins_2016,Saves_2016,WHIP_2016,ERA_2016,Equipo_2016,Sueldo_2016
David Price,217000000,31000000,35,17,0,1.2,3.99,BOS,30000000
Zack Greinke,206500000,34416667,27,13,0,1.27,4.37,ARI,34000000
Johnny Cueto,130000000,21666667,32,18,0,1.09,2.79,SF,17500000
Jordan Zimmermann,110000000,22000000,19,9,0,1.37,4.87,DET,18000000
Jeff Samardzija,90000000,18000000,34,12,0,1.2,3.81,SF,10800000
Mike Leake,80000000,16000000,34,9,0,1.32,4.69,STL,12000000
Wei-Yin Chen,80000000,16000000,22,5,0,1.28,4.96,MIA,12500000
Ian Kennedy,70000000,14000000,33,11,0,1.22,3.68,KC,7500000
Scott Kazmir,48000000,16000000,27,10,0,1.36,4.56,LAD,12666666
J.A. Happ,36000000,12000000,32,20,0,1.17,3.19,TOR,10000000
John Lackey,32000000,16000000,29,11,0,1.06,3.35,CHC,16000000
Darren O'Day,31000000,7750000,34,3,3,1.23,3.77,BAL,6000000
Marco Estrada,26000000,13000000,29,9,0,1.12,3.48,TOR,11500000
Joakim Soria,25000000,8333333,70,5,1,1.46,4.05,KC,7000000
Yovani Gallardo,22000000,11000000,24,6,0,1.59,5.43,BAL,9000000
Ryan Madson,22000000,7333333,63,6,30,1.28,3.62,OAK,7916666
Tony Sipp,18000000,6000000,60,1,1,1.6,4.95,HOU,6000000
Mike Pelfrey,16000000,8000000,24,4,0,1.74,5.37,DET,8000000
Shawn Kelley,15000000,5000000,67,3,7,0.9,2.64,WSH,4200000
Chris Young,13000000,6500000,34,3,1,1.67,6.12,BOS,6500000
Chris Young,13000000,6500000,34,3,1,1.67,6.12,KC,4500000
Chris Young,11500000,5750000,34,3,1,1.67,6.12,BOS,6500000
Chris Young,11500000,5750000,34,3,1,1.67,6.12,KC,4500000
Tyler Clippard,12250000,6125000,69,4,3,1.27,3.57,NYY,6100000
Antonio Bastardo,12000000,6000000,69,3,0,1.38,4.67,PIT,5375000
Hisashi Iwakuma,12000000,12000000,33,16,0,1.33,4.12,SEA,13500000
Mark Lowe,11000000,5500000,54,1,0,1.58,7.12,DET,5500000
Steve Cishek,10000000,5000000,62,4,25,1.02,2.81,SEA,5000000
Jason Motte,10000000,5000000,30,0,0,1.52,4.94,COL,5000000
John Axford,10000000,5000000,68,6,3,1.45,3.98,OAK,4500000
Jonathan Broxton,7500000,3750000,66,4,0,1.24,4.3,STL,3750000
Bartolo Colon,7250000,7250000,34,15,0,1.21,3.43,NYM,7300000
Doug Fister,7000000,7000000,32,12,0,1.42,4.64,HOU,11000000
Oliver Perez,7000000,3500000,64,2,0,1.45,4.95,WSH,3000000
Colby Lewis,6000000,6000000,19,6,0,1.13,3.71,TEX,6000000
Chad Qualls,6000000,3000000,44,2,0,1.59,5.24,COL,2250000
Rich Hill,6000000,6000000,20,12,0,1.0,2.12,LAD,6000000
Trevor Cahill,4250000,4250000,51,4,0,1.28,2.74,CHC,4250000
Jerry Blevins,4000000,4000000,73,4,2,1.21,2.79,NYM,5000000
Joe Blanton,4000000,4000000,75,7,0,1.01,2.48,LAD,4000000
Neftali Feliz,3900000,3900000,62,4,2,1.15,3.35,PIT,4080000
David Hernandez,3900000,3900000,70,3,1,1.5,3.84,PHI,3900000
Tony Barnette,3500000,1750000,53,7,0,1.16,2.09,TEX,1500000
Juan Nicasio,3000000,3000000,52,10,0,1.36,4.27,PIT,3000000
Yusmeiro Petit,3000000,3000000,36,3,1,1.32,4.5,WSH,2500000
Jim Johnson,2500000,2500000,65,2,20,1.19,3.2,ATL,3075000
Matt Albers,2250000,2250000,58,2,0,1.67,6.14,CHW,2000000
Ryan Vogelsong,2000000,2000000,24,3,0,1.47,4.82,PIT,3225000
Fernando Rodney,2000000,2000000,67,2,25,1.39,3.44,MIA,4100000
Alfredo Simon,2000000,2000000,15,2,0,2.05,9.36,CIN,2000000
Eric O'Flaherty,1750000,1750000,39,1,0,1.74,6.91,ATL,1750000
Chris Capuano,1500000,1500000,16,1,0,1.58,4.13,MIL,1500000
Carlos Villanueva,1500000,1500000,51,2,1,1.39,5.96,SD,1500000
Matt Belisle,1250000,1250000,40,0,0,1.09,1.77,WSH,1250000
Jhoulys Chacin,1100000,1100000,34,6,0,1.44,4.81,LAA,1100000
Gavin Floyd,1000000,1000000,28,2,0,1.0,4.07,TOR,1000000
Carlos Torres,950000,950000,72,3,2,1.15,2.73,MIL,950000
Blaine Boyer,950000,950000,61,2,1,1.47,3.96,MIL,950000
Louis Coleman,750000,750000,61,2,0,1.44,4.69,LAD,750000
Blake Wood,600000,600000,70,6,1,1.44,4.02,CIN,600000
Ryan Buchter,520000,520000,67,3,1,1.03,2.86,SD,520000
Edwin Jackson,507500,507500,24,5,0,1.58,5.89,SD,507500
Joe Nathan,507500,507500,10,2,0,1.42,0.0,SF,507500
A.J. Griffin,507500,507500,23,7,0,1.36,5.07,TEX,507500
Kevin Jepsen,0,0,58,2,7,1.67,5.98,TB,507500
Mat Latos,0,0,17,7,0,1.49,4.89,WSH,507500
Ross Ohlendorf,0,0,64,5,2,1.39,4.66,CIN,800000
Josh Collmenter,0,0,18,3,0,1.26,3.7,ATL,507500
Brandon Morrow,0,0,18,1,0,1.38,1.69,SD,607500
Brian Duensing,0,0,14,1,0,1.2,4.05,BAL,507500
Fernando Abad,0,0,57,1,1,1.33,3.66,BOS,507500
Christian Friedrich,0,0,24,5,0,1.41,4.8,SD,507500
Jim Henderson,0,0,44,2,0,1.4,4.37,NYM,507500
Miguel Gonzalez,0,0,24,5,0,1.24,3.67,CHW,507500
Dustin McGowan,0,0,55,1,1,1.22,2.82,MIA,1000000
