Acronimo,Equipo,Victorias,Juegos totales
ARI,Arizona Diamondbacks,53,163
ATL,Atlanta Braves,88,161
BAL,Baltimore Orioles,52,162
BOS,Boston Red Sox,92,162
CHC,Chicago Cubs,71,162
CHW,Chicago White Sox,93,162
CIN,Cincinnati Reds,83,163
COL,Colorado Rockies,74,161
DET,Detroit Tigers,77,162
HOU,Houston Astros,95,162
KC,Kansas City Royals,75,163
LAA,Los Angeles Angels,77,162
LAD,Los Angeles Dodgers,106,162
MIA,Miami Marlins,67,162
MIL,Milwaukee Brewers,95,162
MIN,Minnesota Twins,73,163
NYM,New York Mets,77,162
NYY,New York Yankees,92,162
OAK,Oakland Athletics,86,162
PHI,Philadelphia Phillies,82,162
PIT,Pittsburgh Pirates,60,161
SD,San Diego Padres,79,162
SEA,Seattle Mariners,90,162
SF,San Francisco Giants,108,163
STL,St. Louis Cardinals,89,161
TB,Tampa Bay Rays,100,162
TEX,Texas Rangers,60,162
TOR,Toronto Blue Jays,92,163
WSH,Washington Nationals,65,162
