Acronimo_t,Altura_t,Anio_de_agente_libre_t,Anio_t,Anios_de_contrato_t,Antiguedad_t,Bateos_2_t,Bateos_t,Bono_por_firma_t,Cantidad de equipos_t,Cantidad_agentes_libres_t,Carreras_2_t,Carreras_ganadas_2_t,Carreras_ganadas_t,Carreras_t,Comando_2_t,Comando_t,Control_2_t,Control_t,Dominio_2_t,Dominio_t,ERA_2_t,ERA_t,Edad_al_firmar_t,Edad_t,Equipo_t,Estado_t,Ganancias_t,Inning_pitched_2_t,Inning_pitched_t,Juegos totales_t,Juegos_iniciados_t,Juegos_t,Jugador,Losses_2_t,Losses_t,Pago_efectivo_t,Pennants won_t,Peso_t,Playoffs_t,Porcentaje_juegos_t,Posicion_t,Promedio_victorias_t,Saves_2_t,Saves_t,Strike_outs_2_t,Strike_outs_t,Sueldo_ajustado_t,Sueldo_base_t,Sueldo_porcentual_t,Sueldo_regular_t,TVS_2_t,TVS_t,Valor_contrato_promedio_t,Valor_contrato_total_t,Valor_del_contrato_t,Victorias_t,WAR_2_t,WAR_t,WHIP_2_t,WHIP_t,WS ganadas_t,Walks_2_t,Walks_t,Wins_2_t,Wins_t,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,6.241570881226049,2013,2011,3,1,45796,214,0,1,1,9025,7569,87,95,4.122130394857668,2.0303030303030303,0.09664688984939193,0.31088082901554404,0.39839108221663944,0.6311822892133773,13.6161,3.69,33,34,Milwaukee Brewers,Wisconsin,62962104,45071.29000000001,212.3,162,33,33,Randy Wolf,100,10,9500000,1,215.48312611012435,4,0.2037037037037037,SP,0.5925925925925926,0,0,17956,134,9500000,9500000,0.103,9500000,1900.96,43.6,9916667,775000,29750000,96,6.300099999999999,2.51,1.7424000000000002,1.32,0,4356,66,169,13,16.06680235657077,16.06680235657077,16.06680235657077
MIL,6.2,2016,2011,5,2,37249,193,250000,1,1,8464,6561,81,92,12.30939385234128,3.5084745762711864,0.08100380492161524,0.28461167390255665,0.9971077383183833,0.9985528219971056,12.3904,3.52,23,25,Milwaukee Brewers,Wisconsin,6923000,42973.29000000001,207.3,162,33,33,Yovani Gallardo,100,10,3250000,1,205.0,4,0.2037037037037037,RP,0.5925925925925926,0,0,42849,207,3500000,3250000,0.038,3500000,3632.4729,60.27,6020000,775000,30100000,96,5.107599999999999,2.26,1.4884,1.22,0,3481,59,289,17,15.068273526459642,14.994165554305921,15.068273526459642
MIL,6.0,0,2011,1,0,30625,175,0,1,1,7056,6241,79,84,7.6835949522930145,2.7719298245614037,0.0806593961493517,0.28400597907324365,0.6197541291081614,0.787244643746886,12.531600000000001,3.54,29,29,Milwaukee Brewers,Wisconsin,6442800,40280.49,200.7,162,33,33,Shaun Marcum,49,7,3950000,1,215.48312611012435,4,0.2037037037037037,SP,0.5925925925925926,0,0,24964,158,3950000,3950000,0.043,3950000,4841.3764,69.58,3950000,775000,3950000,96,8.526399999999999,2.92,1.3456,1.16,0,3249,57,169,13,15.189226136877304,15.189226136877304,15.189226136877304
MIL,6.2,2013,2011,4,2,25921,161,0,1,1,6724,5329,73,82,19.95111111111111,4.466666666666667,0.06868856401553684,0.262085032032615,1.3704131727366442,1.1706464764123472,14.6689,3.83,25,27,Milwaukee Brewers,Wisconsin,29897172,29480.889999999996,171.7,162,28,29,Zack Greinke,36,6,13500000,1,200.0,4,0.17901234567901234,SP,0.5925925925925926,0,0,40401,201,13500000,13500000,0.146,13500000,2072.0704,45.52,9500000,775000,38000000,96,1.9880999999999998,1.41,1.44,1.2,0,2025,45,256,16,16.41820024340866,16.41820024340866,16.41820024340866
MIL,6.3,0,2011,1,0,25600,160,0,1,1,6724,6400,80,82,3.7576331360946744,1.9384615384615385,0.16158709506178365,0.40197897340754485,0.6071850227694384,0.7792207792207793,19.802500000000002,4.45,29,29,Milwaukee Brewers,Wisconsin,850650,26146.889999999996,161.7,162,28,30,Chris Narveson,64,8,444150,1,205.0,4,0.18518518518518517,RP,0.5925925925925926,0,0,15876,126,444150,444150,0.005,444150,0.0,0.0,444150,775000,444150,96,0.31360000000000005,0.56,1.9320999999999997,1.39,0,4225,65,121,11,13.003917622197847,13.003917622197847,13.003917622197847
MIL,6.0,0,2011,1,0,6889,83,0,1,1,2025,1764,42,45,9.20808561236623,3.0344827586206895,0.09786705673845522,0.3128371089536138,0.9011682370779992,0.9492988133764833,16.6464,4.08,27,27,Milwaukee Brewers,Wisconsin,740808,8593.29,92.7,162,7,43,Marco Estrada,64,8,414000,1,180.0,4,0.2654320987654321,SP,0.5925925925925926,0,0,7744,88,414000,414000,0.005,414000,244.9225,15.65,414000,775000,414000,96,0.1296,0.36,1.4641,1.21,0,841,29,16,4,12.933621252807452,12.933621252807452,12.933621252807452
MIL,6.5,0,2011,1,1,3481,59,0,1,1,361,256,16,19,11.833599999999999,3.44,0.11506547685895183,0.33921302578018997,1.3616388269580924,1.1668928086838535,3.8415999999999997,1.96,27,28,Milwaukee Brewers,Wisconsin,842500,5431.6900000000005,73.7,162,0,74,John Axford,4,2,442500,1,234.0,4,0.4567901234567901,RP,0.5925925925925926,2116,46,7396,86,442500,442500,0.005,442500,9570.7089,97.83,442500,775000,442500,96,5.1529,2.27,1.2995999999999999,1.14,0,625,25,4,2,13.00019574343012,13.00019574343012,13.00019574343012
MIL,6.0,0,2011,3,3,4489,67,666667,1,1,484,441,21,22,9.232248520710058,3.0384615384615383,0.13149474118294693,0.36262203626220363,1.2139921297674134,1.101813110181311,6.969600000000001,2.64,26,29,Milwaukee Brewers,Wisconsin,57069166,5140.89,71.7,162,0,73,Francisco Rodriguez,4,2,2450819,1,180.0,4,0.4506172839506173,RP,0.5925925925925926,529,23,6241,79,2450819,11500000,0.027,12166667,86.1184,9.28,12333333,775000,37000000,96,0.8835999999999999,0.94,1.6900000000000002,1.3,0,676,26,36,6,14.711932812374174,16.25785759333348,16.31421055728187
MIL,6.5,2012,2011,2,1,2500,50,250000,1,1,225,169,13,15,7.839999999999999,2.8,0.04286528726172259,0.2070393374741201,0.3360638521319051,0.5797101449275363,5.8564,2.42,37,38,Milwaukee Brewers,Wisconsin,35750000,2332.89,48.3,162,0,52,LaTroy Hawkins,1,1,4000000,1,195.0,4,0.32098765432098764,RP/CL,0.5925925925925926,0,0,784,28,4250000,4000000,0.046,4250000,3486.9024999999997,59.05,3750000,775000,7500000,96,0.8835999999999999,0.94,1.5376,1.24,0,100,10,9,3,15.2624295409006,15.201804919084164,15.2624295409006
MIL,6.2,0,2011,1,1,4,2,0,1,1,0,0,0,0,0.4444444444444444,0.6666666666666666,2.25,1.5,1.0,1.0,0.0,0.0,25,26,Milwaukee Brewers,Wisconsin,416500,4.0,2.0,162,0,2,Michael Fiers,0,0,414000,1,211.0,4,0.012345679012345678,SP,0.5925925925925926,0,0,4,2,414000,414000,0.005,414000,0.0,0.0,414000,775000,414000,96,0.0036,0.06,6.25,2.5,0,9,3,0,0,12.933621252807452,12.933621252807452,12.933621252807452
